Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Gm11242,4,76692143,76694599
RP23-431O7.6,8,95089671,95090676
Arsg,11,109473374,109573330
Gm11246,4,76927311,76927655
RP23-431O7.10,8,95113566,95129590
Gm11243,4,76793729,76794122
Gm4498,7,20232908,20233828
B230208B08Rik,4,78211955,78214177
Tmtc4,14,122918971,122984035
Gm18049,7,20258291,20259128
Kifc3,8,95099828,95202812
Traj23,14,54196081,54196140
Vsir,10,60346851,60372684
Olfr394,11,73883337,73890771
Sept8,11,53519257,53549565
Prkar1b,5,139017306,139150001
Rpl18,7,45715457,45720836
Usp33,3,152346478,152393617
Smim1,4,154020470,154026230
Itih5l-ps,X,150826972,150857053
D030018L15Rik,15,96051616,96079553
0610037L13Rik,4,107889813,107899384
Gm3200,7,100760805,100761806
2610037D02Rik,15,96134819,96284495
Gm27191,X,150848838,150849378
Amz2,11,109425946,109452813
Gm44953,7,100811352,100812637
Gm37729,1,160985758,160986929
Fam168a,7,100706635,100841656
Mme,3,63241537,63386030
Serpinc1,1,160978585,161005863
Clnkos,5,38735983,38747897
Ndufaf3,9,108565537,108567434
3632451O06Rik,14,49681560,49783383
Il17re,6,113458484,113470758
Clnk,5,38706462,38876812
Gm15642,11,109437172,109438145
Tmem27,X,164088830,164118860
Gm16082,14,49713246,49713622
Slc16a6,11,109450855,109473598
Impdh2,9,108560286,108565584
Hoxb6,11,96292476,96301569
Rbp7,4,149449687,149454978
Hoxb5os,11,96291024,96306910
Hoxb5,11,96303336,96306121
Ltb4r1,14,55765962,55768494
Lrrc47,4,154011731,154021513
Gm5801,14,56010536,56011315
Gm11478,11,86630428,86631026
Vmp1,11,86583865,86683836
Gm9991,1,90675161,90679793
Cdh23,10,60302748,60696490
Gm18066,8,61819743,61821516
Gzmd,14,56129556,56132608
Gm45418,8,61921746,61928028
Dnaaf5,5,139150223,139186510
4930512H18Rik,8,61849006,61922834
Gm4788,1,139697623,139781243
B530045E10Rik,10,99298888,99423047
Gm4819,14,56250069,56251077
Palld,8,61511433,61902690
Ccl26,5,135560448,135563569
Stmn1,4,134468320,134473843
Ccl24,5,135569937,135573049
Pcca,14,122534324,122891100
Capn3,2,120456019,120504913
Cep89,7,35397035,35438689
Akap7,10,25169090,25307870
Acox3,5,35583040,35615352
S100pbp,4,129148005,129189727
Celf1,2,90940382,91019497
Gm5890,7,20260451,20262834
Gm45477,3,90311518,90317015
Gm45354,3,90335395,90337951
Gm18455,7,20270710,20271168
4930537H20Rik,3,90292301,90293983
Gm4501,7,20289784,20290334
Kitl,10,100015630,100100413
Gm15672,5,139147576,139150693
Gatad2b,3,90293178,90363407
Gm44013,6,140620162,140622423
Ighv1-75,12,115833950,115834418
Ptrh2,11,86683985,86692457
Gm45209,7,100738052,100738628
Smlr1,10,25527943,25536267
Katnb1,8,95081186,95103149
1810043G02Rik,10,77978524,77986905
Gm43123,5,135613829,135617299
Ppm1h,10,122678762,122945795
Cenpj,14,56526761,56571846
Plxnb3,X,73757090,73772514
9930120I10Rik,6,87805472,87806336
B130021K23Rik,6,87830274,87832866
Pan3,5,147430161,147548502
Gm15735,14,122952119,122956343
Isy1,6,87814269,87838798
RP23-35O24.1,10,19262034,19262983
Lcn2,2,32384633,32388252
Layn,9,51054640,51077094
RP23-431O7.9,8,95138310,95148386
RP23-35O24.3,10,19290989,19325817
RP23-431O7.8,8,95126666,95134867
Actr3,1,125392905,125435727
Gm15189,X,159105915,159108491
Olig3,10,19356533,19358604
4833427G06Rik,9,51081115,51102078
Traj22,14,54197248,54197307
AY512915,6,95255726,95333993
Scn4a,11,106318592,106353288
Btg4,9,51060901,51119875
Unc50,1,37430139,37439124
Ambra1,2,91730134,91918849
Jhy,9,40894849,40964118
Gm43857,3,152391162,152394240
Gm42967,3,152380857,152383168
Gm43858,3,152386260,152388037
Gm43859,3,152383806,152385217
Hoxb4,11,96318267,96321638
Bud13,9,46283008,46299110
Gm13181,2,3686362,3687430
Aph1b,9,66775202,66795490
Gm29571,10,25536386,25673343
RP23-82F10.5,9,69436986,69437247
RP23-158K20.4,9,40929909,40930426
Fam107b,2,3613758,3782142
Gm45098,7,66723119,66723775
RP23-82F10.3,9,69444963,69445803
Gm10623,7,66737804,66740442
Amot,X,145446425,145505181
Traj21,14,54198790,54198846
Gm4978,9,69450235,69451035
Gm45140,6,87788861,87835795
Ttn,2,76703980,76982547
Gm44423,6,87796070,87799227
Gm36970,1,90837275,90839133
1700016K19Rik,11,75999912,76003569
Rab43,6,87788853,87812164
Bbs5,2,69647171,69667571
Gm13185,2,3752986,3755177
Col6a3,1,90765923,90843971
Gm13183,2,3679802,3680590
Traj20,14,54199441,54199498
Hoxb2,11,96350525,96354012
Gm15015,X,135519591,135549316
Gm6228,X,135549210,135552221
Traj19,14,54200386,54200446
Hoxb3,11,96323326,96347930
1700109G15Rik,11,84716976,84720432
Aebp2,6,140622663,140678472
Galnt13,2,54436317,55118309
4931431C16Rik,5,35581227,35588763
RP23-353K11.3,10,19486715,19507311
Gm12216,11,53783418,53859256
Gm11431,11,84763855,84777829
Rflnb,11,76019194,76027782
Gm15382,15,91822687,91823223
Gm11536,11,96336299,96342108
Gm42866,5,121742417,121745720
Qser1,2,104754795,104816696
Asphd2,5,112384354,112394866
Hoxb3os,11,96343072,96354691
Ighv8-15,12,115844016,115844309
Sh2b3,5,121815488,121837646
Gm44274,6,135311456,135311711
Pbp2,6,135309127,135310405
Bspry,4,62480053,62497298
Fnd3c2,X,106235246,106255376
Traj18,14,54200777,54200842
Gm44276,6,135289359,135341684
Cers3,7,66743504,66823691
Gm44275,6,135312155,135319561
Gm18958,7,84801034,84803163
Gm42857,5,39002693,39003031
Styk1,6,131299142,131353597
Suclg2,6,95473009,95718800
Vmn2r-ps62,7,84810428,84811444
Gm43453,5,39253950,39307084
Ugcg,4,59189257,59222833
Gm13886,2,104820179,104821361
Gm6155,7,84834539,84834879
Mrm1,11,84813061,84819515
Traj17,14,54201775,54201837
Crhr2,6,55090049,55133016
Olfr291,7,84853553,84859612
Gm44575,11,73895728,73895768
Cfhr2,1,139804167,139858702
Prss56,1,87183313,87188405
Gm4133,7,20333142,20334065
Wdr72,9,74110356,74283308
Prrg4,2,104830741,104849876
Gm8018,7,84879555,84882525
Olfr395,11,73903318,73909299
BC050972,9,66798678,66804359
Olfr396-ps1,11,73925002,73929568
Gm43454,5,39307120,39313295
Gm8424,X,150924620,150926159
RP23-353K11.5,10,19519302,19522650
Gm17677,9,35741049,35742252
Gm12444,4,46243014,46243890
Gm20471,1,163280356,163287045
Olfr722,14,49894258,49901999
Prrx1,1,163245119,163313710
Ldlrad1,4,107209180,107218060
Atp6v1e1,6,120794305,120822793
Gng5,3,146499807,146505572
Bbx,16,50191844,50432390
Enoph1,5,100039985,100068760
Kdr,5,75932827,75978458
Nudt7,8,114133557,114154739
Trmt112-ps2,4,149457329,149457706
Gm42657,5,120641621,120641831
Olfr23,11,73936677,73942658
Gm15749,5,120648040,120648749
Slc25a18,6,120773578,120794336
Hdhd3,4,62499008,62503467
Nmnat1,4,149467572,149485202
Gm45604,10,125308912,125310679
Olfr290,7,84913075,84920861
Gm42883,5,147439390,147439611
Slc16a7,10,125219270,125389465
Olfr723,14,49928563,49931787
Gm18560,7,84919379,84920501
Rasal1,5,120648812,120679597
Gm44082,6,115529131,115536900
Gm5777,10,57782354,57782801
BC024978,7,27195781,27210186
Ppp1r2-ps4,9,66805306,66805938
Stk11ip,1,75521529,75537335
Gm13097,4,149477378,149483531
Spata18,5,73651379,73679512
Gm37644,1,163306798,163309067
Chp1,2,119547697,119587027
Vmn2r65,7,84940169,84964009
Snrpa,7,27187005,27196271
Atxn2,5,121711337,121816493
Cdr2,7,120957036,120982312
Crtam,9,40969691,41004628
Vmn2r66,7,84994645,85012020
Vmn2r-ps64,7,85034027,85034549
Celf6,9,59577917,59607292
Ace2,X,164139332,164188420
Vmn2r-ps65,7,85041777,85041996
Col4a4,1,82448423,82586849
Gm16144,9,69477029,69479598
Gm43456,5,39337360,39337816
Anxa2,9,69453620,69491795
Lzic,4,149485229,149496668
BC001981,13,100106795,100108339
Itpkc,7,27207172,27228661
Traj16,14,54203134,54203194
1700020I14Rik,2,119594297,119607502
Serf1,13,100107997,100114571
Rpf1,3,146505956,146521429
Gm26577,10,21145094,21154374
Myb,10,21124935,21160984
Gm12445,4,46273819,46274840
Gm13071,4,149500633,149501008
Prr29,11,106365472,106377558
Unc13b,4,43058953,43264871
Gm12447,4,46327296,46327765
Gm12446,4,46300007,46345515
Mfsd13b,7,120982509,121014787
Rplp2,7,141447370,141451585
Foxe1,4,46343609,46346412
Fcnb,2,28076378,28084885
Gm13180,2,3855030,3877575
Vmn2r-ps66,7,85053075,85070937
Ighv1-76,12,115847881,115848331
Gm13191,2,3925808,3929139
Vmn2r-ps67,7,85083980,85084364
Ifrd2,9,107587642,107593385
Nr1h2-ps,9,74364586,74365063
Psd4,2,24367580,24414954
Tagln3,16,45711230,45724608
Gm28622,9,74560582,74561378
Gm4301,10,100335676,100336591
L3mbtl3,10,26274468,26375185
Olfr22-ps1,11,73951323,73955628
4930564D02Rik,3,105066844,105078806
Gm17098,9,66834699,66835534
Gm13066,4,149565620,149567790
Aph1c,9,66814994,66834726
Ctnnbip1,4,149518236,149566437
Gm4308,10,100366499,100367412
Gm4312,10,100381647,100382560
Nip7,8,107056877,107060931
Nxf7,X,135579555,135598777
Gm16332,1,139862957,139936477
Gm5837,1,139928240,139929608
Gm18358,7,85088768,85091159
Gm9234,7,121015142,121015633
Lrrc36,8,105413571,105464086
Vmn2r67,7,85136240,85155902
Olfr724,14,49960023,49963274
Vmn2r-ps68,7,85192197,85193057
Gm15607,5,135637139,135637496
Med27,2,29346819,29524793
Rhbdd2,5,135632618,135646448
Nusap1,2,119618298,119651244
Vmn2r68,7,85221518,85237704
Olfr397,11,73960817,73967812
Gm5555,5,49552158,49553268
Fam83e,7,45721212,45729492
Gm7988,5,49900006,49902302
Gm20414,7,85260689,85261334
Tie1,4,118471191,118490061
Gm36259,3,146562878,146563269
Gm45137,7,121039138,121043552
Ptpn22,3,103859795,103912247
Spaca4,7,45725107,45725813
Igsf6,7,121064067,121074572
Gm20415,7,85288160,85289611
Gm5291,5,39401347,39402245
Vmn2r-ps69,7,85303953,85342891
Gm13938,2,76722776,76786708
Gm18766,9,85789764,85790571
Traj15,14,54204422,54204481
2210406H18Rik,7,121062852,121063959
Gm28857,1,130740162,130741327
Gm9905,7,121033252,121035096
AA986860,1,130731976,130744622
Gm44901,7,121052345,121056321
4930421C12Rik,5,39442001,39443574
Mettl9,7,121034445,121078329
1700008B11Rik,5,121835195,121835828
Olfr695,7,106711031,106716396
Parp4,14,56575619,56659794
Gm7838,6,95925741,95926929
Gm16552,5,121717666,121727403
Gm43571,5,121715109,121718206
Gm45006,7,73797603,73798292
Gm13402,2,29349842,29396459
Gm10619,7,73781429,73816503
Gm13401,2,29498212,29498502
Gm32742,9,51130307,51165517
Robo4,9,37401897,37415115
Gm42524,5,39458097,39477679
4930513D17Rik,5,39461749,39603574
Dynlt1-ps1,6,135349408,135349749
Gm17978,5,102159526,102160294
Gm13777,2,91030778,91031122
Trmo,4,46376505,46389437
Pycr2,1,180904293,180908088
Oip5,2,119609512,119618469
Tagln2,1,172500047,172507380
Gm28635,2,84601439,84678041
Gm16573,14,56607261,56620513
Traj14,14,54205111,54205144
Pip4k2b,11,97715157,97744704
Selenoh,2,84669215,84670770
Gm17727,9,35776524,35778109
Gm42461,5,49943409,49944558
Gm13887,2,104875202,104875545
Traj13,14,54205741,54205797
Gm27235,9,35776524,35790101
Gm11614,11,97723651,97725711
Ubtf,11,102304560,102319742
Ccdc73,2,104867805,105017904
D730048I06Rik,9,35788050,35790112
Gm15472,3,103863166,103864423
Ganc,2,120403896,120461700
Gm42933,5,102162291,102164359
Fabp7,10,57784881,57788450
Clstn1,4,149586468,149648899
Gm43065,3,103864706,103866797
Tprn,2,25262618,25269885
Gm15602,3,103902499,103902963
Gm42932,5,102416203,102416946
Por,5,135670033,135735326
Gm5881,6,96033003,96033369
Kcnd3,3,105452330,105674002
9330154J02Rik,9,85820241,85844323
Gm6588,5,112449426,112451738
Gm5644,X,145601837,145602301
Gm15060,X,145646506,145647453
Tpbg,9,85842380,85847040
Med19,2,84678402,84688215
Gm18254,7,35442566,35445237
Gm15058,X,145753499,145753956
Ptges2,2,32395896,32405772
Sult2b1,7,45729983,45784669
Gm12596,4,59260051,59263269
Zmynd12,4,119422814,119467444
Olfr696-ps1,7,106728872,106729819
Sez6l,5,112419151,112577185
Fam19a1,6,96113154,96657198
Gm6446,X,145833317,145834134
Zdhhc5,2,84687970,84715180
Olfr697,7,106740905,106741956
Ifngr1,10,19591949,19610229
Gm15057,X,145990742,145991275
Pnpla2,7,141455198,141460743
Rimkla,4,119465283,119492628
Gm5834,1,139939601,139994205
1700123L14Rik,6,96164497,96166243
Rps6ka3,X,159210307,159368244
Gm43847,3,105502907,105504846
Kcnd3os,3,105441595,105452955
Kcnk6,7,29221926,29232515
Adgra3,5,49959956,50059006
Hoxb1,11,96365752,96368256
Gm36974,9,35835387,35836457
Eif3m,2,104999656,105017080
Dhrs11,11,84820856,84828994
Lmtk3,7,45783738,45804144
Tppp3,8,105467493,105471526
Gm13778,2,91044092,91053933
Tmem150cos,5,100077962,100095273
Tmem150c,5,100077872,100159808
Rapsn,2,91035620,91045729
Il18bp,7,102014885,102018690
Gm6447,X,145994291,145995125
Tmx2,2,84671316,84679140
Arhgap24,5,102481391,102897937
Gm43091,5,135653810,135672987
Gm45312,7,101956975,101957285
Gm12527,4,59368303,59368866
Gm45503,7,45742049,45750257
Gm11149,9,49518288,49572591
Gm8523,7,101945962,101946513
Gm16061,5,135698163,135699019
Olfr725,14,50034314,50040375
Gm38266,1,140000549,140000969
Wdfy4,14,32959547,33185508
Susd1,4,59314683,59438633
Gm28856,1,130766384,130784433
Lrrc42,4,107233514,107253532
Gm38019,1,140038433,140049029
Numa1,7,101934111,102014964
Arid2,15,96287518,96404992
Gm11531,11,96392112,96392666
Gm44260,6,120912900,120914993
Ncam1,9,49502136,49798925
Bcl2l13,6,120836212,120892842
Pou2af1,9,51213708,51240080
Gm38150,9,107594440,107594891
Lsmem2,9,107593841,107597075
Tsen2,6,115544664,115578628
RP24-173L14.4,9,51215733,51219521
Gm8709,10,26673601,26674612
9230110F15Rik,9,35838329,35844150
Gm17812,6,120908673,120908990
Tmtc3,10,100443902,100487350
Bid,6,120891930,120916853
Gm15062,X,146068808,146069174
Btbd18,2,84659079,84668780
Gm37194,14,50061360,50064390
Tmem87a,2,120355312,120404113
Gm4918,X,146095376,146096459
Fcamr,1,130800902,130814740
Tmed6,8,107061476,107065644
Fasn,11,120805846,120824547
Gm44755,7,66959817,66961918
Gm44609,7,66993968,66994427
Gm17909,7,67082843,67083749
Chrnd,1,87190607,87200070
1700013M08Rik,5,102474290,102483289
Olfr398,11,73979967,73990407
Adamts17,7,66839735,67153171
Lrrc18,14,32991382,33015292
Gm13323,2,17796834,17797984
4833445I07Rik,9,108567533,108569174
Gm15848,1,130809977,130824084
Slc22a5,11,53864542,53891660
Gm9515,3,107906782,107911249
Ybx3,6,131364855,131388476
Slc2a8,2,32972990,32982083
Ndufaf1,2,119655446,119662827
Il17rc,6,113471427,113483140
Tsfm,10,127011572,127030840
Traj12,14,54206553,54206610
Emp1,6,135362545,135383173
Ctnnd1,2,84600071,84650765
Gm11529,11,96448323,96464547
Gm42528,5,39606927,39610344
Fam19a4,6,96831203,97060413
Gm13413,2,32406055,32406656
Gm45313,7,101980083,101980260
H3f3c,2,119665626,119666036
Gm37125,1,172513249,172514807
Gm13250,4,134493222,134493974
Smpdl3a,10,57794335,57811830
Hemgn,4,46393989,46413506
A730011C13Rik,3,94994410,94997350
Avil,10,127000709,127020994
Gm28706,1,125444567,125447398
4933408N05Rik,8,114341160,114351479
Vat1l,8,114205612,114374071
Zfp687,3,95006590,95015448
4930502E09Rik,11,84829178,84830868
Paqr7,4,134496697,134510235
Gm9932,5,100196611,100200724
Cltc,11,86694351,86757565
Gm21269,7,73816546,73838898
Hmgb1-ps2,X,146175942,146176577
AW822073,10,58222972,58224930
Mtx1,3,89209081,89227088
Gm3428,9,35847855,35850253
Mdk,2,91929805,91932297
Traj11,14,54207139,54207197
Gm10807,10,58227857,58228651
2310034O05Rik,5,100210692,100218049
Gm15061,X,146264952,146265997
Pi4kb,3,94974731,95006843
Gm15076,X,146519232,146519705
Cwc25,11,97745481,97766556
Gm8261,X,146599751,146600958
Dalrd3,9,108569886,108572774
Msh5,17,35028605,35046745
Gm43801,5,73912896,73920421
Hs3st1,5,39613935,39755475
C78283,5,73946381,73948376
Gm13371,2,28092032,28093514
Wipi1,11,109573331,109611967
Gm43918,6,84008898,84012121
Traj9,14,54209393,54209450
Zdhhc1,8,105472423,105496902
Gm3012,14,3634512,3642943
Numbl,7,27258433,27282144
Traj8,14,54209918,54209954
RP23-433B2.7,9,46319038,46331798
4930448E22Rik,9,46326393,46329527
Gar1,3,129824912,129831396
Traj7,14,54211470,54211528
4931429L15Rik,9,46303361,46319986
Gm13888,2,105031866,105032287
Clec3a,8,114418086,114425846
Gm44641,7,27252176,27262252
Gm15075,X,146652038,146652514
Gm15567,7,27249263,27257932
Skap1,11,96464593,96759130
Wdr6,9,108572311,108578739
Coq8b,7,27233023,27257950
Chrm4,2,91927249,91928688
Gm7816,5,39798214,39799407
9230113P08Rik,9,35908423,35910796
Tcf3,10,80409514,80433647
Ppfia3,7,45339122,45367019
Gm43737,3,89210425,89213164
Traj6,14,54212688,54212749
Thbs3,3,89215180,89226837
Gm14383,2,119669159,119669544
Ccdc27,4,154026639,154042677
Gm35191,5,39975671,39985628
Wt1os,2,105076538,105126510
Pccb,9,100982032,101034898
Gm15265,3,94998800,95004869
Traj5,14,54213777,54213838
Gm38143,7,73948423,73958042
Taf15,11,83473086,83506743
Gm45003,7,73945377,73947534
Gm13117,4,154043733,154044423
Vmn2r69,7,85404849,85417476
St8sia2,7,73939119,74013690
Gm2810,5,40328438,40329427
Gm13114,4,154048023,154048128
Gm21221,5,149801990,149811751
Traj4,14,54216291,54216353
Gm15570,7,27271768,27272392
Gm37399,3,51302488,51302903
Gm12443,4,46419980,46420302
4930500F04Rik,5,149847747,149864280
Nupr1,7,126623249,126630861
Atp5l2-ps,11,97768060,97768371
Rtf1,2,119675068,119735407
Gm43450,5,149868748,149871409
Rab8b,9,66843664,66919687
2010007H06Rik,9,51278513,51284210
1700001P01Rik,11,97771481,97775918
Elf2,3,51252720,51340663
Gm43452,5,149895129,149896119
Yif1b,7,29238329,29247597
Vmn1r-ps79,7,20356798,20357760
Gm684,9,51270258,51278569
Gm43451,5,149903197,149911114
Gm12954,4,119501865,119502546
Gm12956,4,119509648,119510061
Gm5728,7,20374493,20375410
Gm12489,3,107919662,107919809
Vsig8,1,172555938,172563717
Gm12955,4,119519126,119520082
Abcg4,9,44273188,44288615
Gm18359,7,85476955,85482015
Gm45004,7,74034632,74043738
Gm44578,7,85501297,85505131
Vmn1r100,7,20417942,20418865
Gm12957,4,119520990,119521366
Gm44065,6,97148194,97151720
Vmn2r-ps70,7,85511848,85512149
Eogt,6,97110024,97149182
Vmn1r101,7,20441670,20442593
Arhgap18,10,26753421,26918648
4933439K11Rik,1,172538133,172558129
F730016J06Rik,2,28095477,28127731
Cfi,3,129835884,129875332
RP24-531B21.3,9,41164374,41164745
Cfap45,1,172520801,172545870
RP24-531B21.2,9,41109527,41112081
Alad,4,62509169,62519918
Gm18688,6,131432053,131433911
Ubash3b,9,41011098,41161697
Gm4855,3,26380445,26382411
Sult1a1,7,126672865,126676432
Gm38144,15,96700173,96700637
Dnase2b,3,146580985,146615596
Kcnab3os,11,69329825,69332122
Kcnab3,11,69326258,69333042
1810046K07Rik,9,51289686,51328917
Pfkfb4,9,108991778,109032228
Otoa,7,121081650,121163097
2510046G10Rik,7,126648543,126649594
Anp32b,4,46450902,46472657
Spata16,3,26637620,26983212
Uox,3,146570426,146632305
Sgf29,7,126649309,126672925
Rpl23,11,97777527,97782437
Usp46os1,5,74014215,74029680
Pigr,1,130826684,130852249
Gm43417,5,74048299,74053505
2200002D01Rik,7,29246561,29248466
Gm43415,5,74060038,74060787
Usp46os2,5,74032268,74040003
Usp46,5,73998453,74068431
Larp6,9,60712989,60738801
Mtag2,7,45366163,45367948
Gm15074,X,146654675,146655610
Gm45619,7,45368177,45368704
Gm15021,X,135615994,135616735
Lin7b,7,45367891,45370583
Prame,X,135613002,135627705
Gm10670,7,20473960,20474925
4930474B08Rik,1,90870583,90871419
Gm18360,7,85516723,85519417
RP23-121M22.6,14,56665605,56668124
Vmn1r103,7,20509617,20510534
Vmn2r70,7,85558703,85569088
Vmn1r104,7,20533837,20534760
RP24-531B21.4,9,41159424,41188862
Rpl38-ps2,6,140746960,140747172
Gm32780,5,76043098,76055899
Gm5726,7,20544834,20545757
4930519E07Rik,5,41281236,41282900
Gm6051,5,76060412,76060763
Gm4754,5,41342123,41342931
RP23-115A18.1,9,51622745,51623751
Gm7293,9,51621425,51655127
Gm4141,7,20575321,20576241
RP23-395M5.6,10,21182695,21188620
Mlph,1,90915085,90951142
Gm8239,6,56581203,56652487
Cd151,7,141467392,141471473
RP23-395M5.7,10,21177627,21189182
Sun1,5,139200637,139249840
Rufy4,1,74125541,74148223
Gm38254,9,77302067,77303075
Gm4513,7,20593051,20599021
Gm12218,11,53902757,53903155
Gnl3l,X,150983141,151017322
Vmn2r-ps72,7,85589650,85590556
Gm27210,9,77294838,77295239
Gm12217,11,53902190,53903568
Vmn2r71,7,85574614,85624547
Gm8486,7,20618446,20637932
Gm14852,X,106270511,106273738
Mlip,9,77102081,77352969
Duxf3,10,58229979,58232675
5430401F13Rik,6,131486400,131553763
Gm8091,5,100220440,100355119
Gstm7,3,107926334,107931817
Lsm5,6,56701063,56704710
Vmn1r107,7,20668918,20669841
Chrng,1,87204657,87212694
Gm6619,6,131486400,131491493
Gm4981,10,58234848,58236701
Ssna1,2,25271039,25272438
Srd5a3,5,76140271,76155504
Gm19459,10,58239608,58240661
Foxj3,4,119537004,119629119
Gm45101,7,67180100,67180331
Gm12859,4,118490782,118497642
Gm37659,3,27012764,27012874
Gm12220,11,53929305,53929476
Trp73,4,154056253,154140208
Ifnb1,4,88522025,88522774
4930565D16Rik,3,84349376,84379921
Gm7558,3,27046789,27047953
4930577N17Rik,3,51276759,51278383
Tcp11x2,X,135654698,135693790
Cracr2b,7,141461094,141466613
Gm21048,5,150001805,150003314
4930425L21Rik,6,135658913,135684527
Gm16177,8,86659318,86660035
RP23-115A18.3,9,51656891,51657461
Traj3,14,54217292,54217357
Gm15152,X,151005870,151006528
Cfh,1,140084708,140183764
Gm43925,6,140784499,140784704
Ccdc82,9,13246955,13292520
Lonp2,8,86624043,86723873
Gm43806,5,41421576,41422044
Add1,5,34573664,34632308
Gm43927,6,141008169,141008285
H2al2a,2,17996417,17996958
Gm30524,6,140955609,141044134
Slc39a13,2,91061791,91070417
C77080,4,129219578,129261404
Traj2,14,54217836,54217901
Gm7384,6,141138047,141138576
Fhdc1,3,84442198,84480429
Slc35f5,1,125560595,125595820
Gm37745,1,119790763,119798925
Olfr399,11,74053127,74056615
4930594C11Rik,1,37485851,37488605
Olfr139,11,74044033,74056551
Gm10575,7,141461481,141467771
Ptpn4,1,119652467,119837613
Mgat4a,1,37439340,37541016
Gm43958,6,141442360,141445903
Gm28523,6,141246920,141250009
Gm11685,11,109616320,109641789
Olfr726,14,50083570,50090953
Itpka,2,119742337,119751263
Gm12959,4,119553656,119554058
Pde3a,6,141249269,141507448
AA415398,4,119530308,119539529
Rxfp2,5,150018675,150082184
RP23-395M5.8,10,21198101,21252114
Gm16116,8,114591303,114594900
Gm2467,10,21289219,21290228
Yars,4,129189760,129219607
Wwox,8,114439655,115352708
Aunip,4,134510999,134523927
Gm13329,2,17998241,17998505
Gm29442,7,16618627,16619832
1700036A12Rik,9,60743120,60770276
Gm17826,7,16498732,16499529
Gm10400,6,141340553,141344387
Arhgap35,7,16493719,16614993
Ddx20,3,105678270,105687574
Mkrn2os,6,115583544,115592576
1700112J16Rik,7,67204082,67222536
Gm12857,4,118522018,118522609
Psmc3,2,91054009,91066369
Prkar1a,11,109649405,109669656
Gm29443,7,16613824,16632643
Fcmr,1,130865669,130880791
Gm17981,7,16514400,16515138
Gm13330,2,18032533,18039633
A930004D18Rik,2,18025193,18037737
2610528J11Rik,4,118526999,118530228
Gltp,5,114669398,114690984
Gm44589,7,16616351,16616465
Slco3a1,7,74275419,74554780
Gm16117,8,114639546,114642114
Gm16118,8,114698439,114708006
Aldh8a1,10,21377291,21396585
Gm3020,14,3652030,3673215
Flt1,5,147561604,147726011
Trim14,4,46493781,46536141
Traj1,14,54218814,54218842
Gm43213,1,37487193,37488982
Gm2866,14,3681525,3682005
Vmn1r-ps71,7,20680414,20681337
Gm3043,14,3688783,3698000
Fam212b,3,105704599,105720842
Vmn1r111,7,20702296,20703216
Gm14857,X,106281912,106285096
Ucp1,8,83290352,83298452
Gm18052,7,20722453,20723262
Gorab,1,163384908,163403669
Gm42558,5,150022479,150022743
Mtfr1l,4,134525550,134535387
Gm42557,5,150067258,150082795
Nans,4,46489248,46503632
Arhgap20,9,51765337,51853856
Gm10668,7,20724525,20730624
Gm2871,14,3713109,3714312
Gm3851,1,119787769,119788086
Nphs1os,7,30462164,30465591
Gm2877,14,3735760,3736963
Gm29657,1,119793520,119794229
Gm8338,1,119817763,119818125
Gm7580,7,74392698,74411233
Gm21965,14,3751771,3782764
Nphs1,7,30458315,30487223
Gm14032,2,55292065,55293090
Gm16731,4,46535901,46539802
Gm14033,2,55411790,55433435
Ddx60,8,61928087,62038244
Il22ra2,10,19621998,19634681
Coro2a,4,46536937,46602202
Gm29500,1,163607377,163610269
Pla2g12a,3,129878606,129895825
Rpsa-ps1,1,163623793,163624678
Zfp292,4,34803113,34882960
Arhgap20os,9,51832814,51875886
Gm14330,6,135875505,135884792
Fxyd1,7,31051678,31057199
Gm16571,6,131585110,131590261
Grin2b,6,135713233,136173511
Slc25a25,2,32414487,32451445
RP23-433B2.6,9,46337931,46384755
Kcnj3,2,55435970,55598145
Gm3096,9,101053542,101053905
9230106D20Rik,10,19644750,19660801
RP23-433B2.5,9,46397362,46398943
Gm37553,9,101092977,101094578
Rnf121,7,102019137,102065469
Msl2,9,101074101,101104800
Gm12363,4,34842985,34843652
Hmgb1l,6,131608301,131608871
Gm9240,7,121223253,121223994
Casp6,3,129901425,129914103
Cxcr2,1,74153989,74161246
Gm45079,7,121257359,121295852
4930486N12Rik,7,121258764,121259395
Gm26653,6,136173061,136175664
Gm14329,6,135732870,135744311
Trp73os,4,154093479,154098353
1700021A07Rik,10,21419358,21426565
1700025J12Rik,7,121589903,121591591
4933432K03Rik,7,121468844,121609334
Fry,5,150118645,150497753
Avl9,6,56714899,56761912
Gm42789,5,114715554,114716120
Gm18444,1,125667988,125668616
Olfm1,2,28192992,28230736
Hs3st2,7,121391859,121501770
Gm43848,3,105725901,105727147
Tchp,5,114707760,114722327
Alox12,11,70241457,70255353
Gm45077,7,121314810,121393101
Nbr1,11,101552149,101581951
Rps12-ps4,7,30484701,30485097
Gm3095,14,3963547,3970207
Lasp1,11,97799000,97838764
Lypd1,1,125867622,125913101
Gm2916,14,3884172,3921640
Gm2907,14,3876445,3877636
Myo18a,11,77763246,77865980
Gm26570,14,3838995,3839336
Gm3029,14,3931756,3940185
Fam20a,11,109669749,109722279
Gpr39,1,125676995,125873862
Gm3033,14,3846245,3856085
Gm12219,11,53967063,53967505
Terf2,8,107069400,107096547
