Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
SNORA28,14,103337849,103337974
SNORD115-2,15,25172635,25172716
RNU6-833P,10,73279062,73279168
RN7SL851P,7,6047721,6048023
MIR4734,17,38702262,38702331
MIR8060,3,96359964,96360039
RNA5SP117,2,208920547,208920664
MIR6801,19,52222020,52222098
MIR6753,11,68044794,68044957
MIR1182,1,231019828,231019924
SNORA40,6,35651818,35651945
MIR4721,16,28843919,28844007
Y_RNA,16,27722284,27722392
MIR4307,14,26908642,26908725
MIR5580,14,53948427,53948484
RNA5SP355,12,28505394,28505528
RNU6-575P,7,43207762,43207866
Y_RNA,10,21481716,21481817
RNU6-858P,3,197894507,197894613
RN7SKP264,9,86258358,86258646
RNU6-237P,16,74456541,74456611
RNU6-37P,1,10298966,10299072
RNU7-27P,7,128344081,128344142
GP6,CHR_HSCHR19LRC_COX2_CTG3_1,54684540,54709099
RN7SL647P,3,78115158,78115457
MIR8075,13,113262920,113262999
MIR6759,12,57748618,57748682
Metazoa_SRP,12,68575858,68576136
Y_RNA,16,178554,178656
MIR4260,1,209623444,209623510
RNU6-1196P,4,153265662,153265755
GP6,CHR_HSCHR19LRC_LRC_T_CTG3_1,54957703,54982262
MIR6840,7,100356651,100356721
SNORD63,5,138561043,138561110
MIR924,18,39622123,39622175
Xist_exon4,X,73831145,73831270
RNU6-1258P,14,93437400,93437510
MIR4725,17,31575269,31575358
SNORD19,3,52689248,52689315
Y_RNA,4,56818218,56818314
RNU6-1066P,22,27035887,27035991
Y_RNA,2,85460144,85460252
SNORA2,2,10155072,10155206
RNU7-79P,15,85389823,85389884
RNU6-670P,3,10037552,10037655
RNU6-1306P,11,63882587,63882685
RNU6-891P,4,70852130,70852240
MIR503,X,134546328,134546398
MIR8055,8,6622124,6622220
RN7SL341P,2,64817378,64817675
MIR6722,9,136746893,136746970
Y_RNA,14,49839401,49839493
SNORD62A,9,131485665,131485750
MIR6862-2,16,28724252,28724321
RNU6-1216P,2,69182877,69182983
MIR4747,19,4932687,4932740
RNU7-1,12,6943816,6943878
Y_RNA,X,109744643,109744749
MIR548AM,X,16627012,16627085
MIR7154,11,45691704,45691776
MIR3195,20,62064802,62064885
MIR4685,10,98431292,98431360
uc_338,12,129170092,129170238
MIR3196,20,63238779,63238842
RN7SL181P,9,121203159,121203435
MIR3192,20,18470615,18470691
RN7SL310P,18,50206998,50207278
FAS-AS1,13,21126271,21126396
MIR4444-1,2,177212726,177212799
RNA5SP322,10,86052448,86052566
RN7SL820P,2,196289409,196289707
Y_RNA,14,102695388,102695495
Y_RNA,1,55484871,55484972
KCNQ1OT1_5,11,2697851,2698076
MIR4292,9,136830957,136831023
MIR224,X,151958578,151958658
RNU1-116P,CHR_HSCHR6_MHC_COX_CTG1,32505701,32505847
RNU2-5P,9,70188571,70188750
MIR1207,8,128049152,128049238
MIR378E,5,170028488,170028566
RNU6-170P,18,12304091,12304194
RNU1-75P,1,119331397,119331525
MIR3158-1,10,101601417,101601497
SNORD116-11,15,25075929,25076020
MIR603,10,24275685,24275781
AC023491.1,KI270731.1,26533,27138
MIR1302-2,1,30366,30503
ARHGAP11B,CHR_HSCHR15_4_CTG8,30776860,30837039
AC005086.1,7,102188599,102188828
MIR4689,1,5862672,5862741
RP1-136B1.1,6,2437549,2438249
RPH3AL,17,212389,386254
NFKBIB,19,38899700,38908893
PPIAP9,CHR_HSCHR6_MHC_SSTO_CTG1,31510228,31511039
OR7E97P,3,125747084,125748098
AP004290.1,8,99233048,99234459
AP004289.2,8,99340305,99341761
RP11-627G23.1,11,134436473,134505661
GLB1L3,11,134274245,134319564
SRCIN1,CHR_HSCHR17_7_CTG4,38330785,38406717
WNT9A,1,227918656,227947898
KB-1205A7.2,8,98603253,98606340
BICD1P1,2,200844240,200845461
BTF3P9,1,227434064,227434346
RPL23AP14,12,2781904,2782371
TNPO3,7,128954180,129055173
RP4-539M6.14,22,30475364,30492804
RP11-264B14.1,17,61034636,61070122
STXBP4,17,54968727,55173632
RP11-844P9.5,5,176143085,176185155
RP11-420H19.1,7,125344969,125345377
AC004866.3,7,81431731,81432796
ST3GAL4,11,126355640,126440344
RP11-612B6.1,12,26315715,26317813
NSUN5P1,7,75410322,75416787
PMS2P2,7,75344015,75359550
RP11-443N24.3,12,25831416,25834182
HYAL4,7,123828983,123877478
RP11-390E23.6,7,123749068,123751166
RP5-862K6.4,20,43388642,43389041
HMBOX1,8,28890394,29064764
POU4F3,5,146339024,146340520
CTD-2168K21.1,8,24992002,25009777
PRDM6,5,123089121,123194266
RP11-173P15.3,12,120697124,120699541
PTPRK,6,127968779,128520674
RP11-175B9.3,1,202471864,202472117
CTD-2532K18.2,5,174820027,174826324
PPT2,6,32153441,32163680
TBRG1,11,124622836,124635398
SIAE,11,124633113,124695707
DNAJC7,17,41976433,42021376
C17orf64,17,60392429,60431421
ABHD18,4,127965306,128039711
RP11-728D14.6,11,124538500,124539334
PCYT2,17,81900965,81911464
ITPKB-AS1,1,226668897,226676345
NOBOX,7,144397240,144410227
XXyac-YX155B6.7,1,148011799,148012228
DBI,2,119366921,119372560
OR2T29,1,248558544,248559491
RP11-579E24.2,8,63704756,63751677
RP1-102D24.5,22,45435864,45448743
ETFRF1,12,25195216,25209645
PCDHGA4,5,141355025,141512979
AC005618.8,5,141350109,141350662
HOXB4,17,48575513,48580111
KB-1958F4.2,8,97132835,97133379
XX-FW83563B9.5,X,154396878,154398816
OR2T12,1,248294616,248295578
C11orf63,11,122882528,122959798
C2orf76,2,119302225,119366828
OR2M2,1,248179986,248181029
OR2L5,1,248021948,248022886
OR2L1P,1,247990267,247991204
RP11-686G8.1,12,111581379,111581773
OR2L9P,1,247974741,247975653
RP11-548K12.10,7,57819819,57820627
HLA-Z,CHR_HSCHR6_MHC_SSTO_CTG1,32987088,32987162
CR1L,1,207645113,207738416
CDCA4P3,1,207658454,207659142
EN1,2,118842171,118847678
RP11-560I19.2,7,122234531,122234903
LINC01956,2,118833700,118835110
LGR6,1,202193901,202319781
MAPK3,16,30114105,30123506
BMPR1APS2,11,121361854,121362865
IFI35,17,43006725,43014456
RPS20P35,17,38855314,38855670
EPN3,17,50532543,50543750
SCYL1,11,65525077,65538704
OR2A5,7,144050368,144051380
AC102953.6,7,1508655,1509427
RP11-125A15.3,1,226331999,226333655
KCTD21-AS1,11,78139771,78175323
AC006129.2,19,41545192,41555462
RASA4,7,102573807,102616757
PPIL4,6,149504733,149546038
USP2-AS1,11,119381778,119526664
RP11-334E6.3,11,119372706,119381613
MORF4L2-AS1,X,103687284,103691772
RP11-50D9.1,4,127812720,127813200
BANF1,11,66002079,66004149
CYP3A137P,7,99820018,99820086
CTC-340I23.2,5,156704058,156739812
RP1-199J3.7,6,99568097,99569096
SULT1E1,4,69810780,69860152
RPL15P4,CHR_HSCHR6_MHC_QBL_CTG1,31518383,31518962
RP4-781K5.2,1,234607008,234609483
KIFC2,8,144466043,144474202
TMEM251P1,5,91030990,91031307
CDH9,5,26880600,27121150
PLCB4,20,9068763,9481242
RP11-7I15.3,11,78015715,78016495
XXbac-BPG118E17.9,CHR_HSCHR6_MHC_SSTO_CTG1,31002649,31027602
GAGE10,X,49303669,49319844
C17orf47,17,58541587,58544368
IL12B,5,159314783,159330887
CTB-76P12.1,5,159484130,159511687
MTND5P7,7,57194257,57196054
CH17-140K24.3,5,141168231,141168893
ACOT11,1,54542257,54639192
RP11-78B10.2,1,207551925,207606555
SELL,1,169690667,169711698
PCDHB17P,5,141155996,141159061
SCN4A,17,63938554,63972918
RP11-91P24.7,11,77829654,77872262
PTCHD1,X,23334016,23404372
H3F3A,1,226061851,226072001
TGFB2-AS1,1,218344196,218345678
ACTG1,17,81509971,81523847
RPS27P23,12,101424441,101424691
LINC02073,17,51435427,51445802
LL0XNC01-105G4.3,X,103347462,103347729
DRAP1,11,65919257,65921561
PANK3,5,168548495,168579600
RAD54L,1,46247688,46278473
KLHL11,17,41853545,41865431
SLC45A3,1,205657851,205680459
HNRNPA1P17,3,108325520,108326814
RP11-288H12.3,6,160093082,160096212
KRT8P14,X,45632292,45633733
CCDC84,11,118998142,119015791
FRMD8,11,65386599,65413525
RP11-138A9.1,7,130930209,130932206
RP11-556O9.2,17,63117019,63130947
GDF6,8,96142330,96160792
BCL9L,11,118893875,118925608
RP11-539E17.3,8,123192875,123192932
FAM83A,8,123178960,123210079
AC016831.5,7,130822868,130823219
LINC01790,2,194730595,194761435
NANOGNBP2,12,132972338,132972890
TECRP2,4,124462863,124463790
RP11-344P13.6,1,121518366,121518829
PSMC1P8,12,17383352,17384647
SMC3,10,110567691,110604636
PCGEM1,2,192749845,192776899
COX8C,14,93347191,93348356
CAPZA2,7,116811070,116922049
RP11-571M6.17,12,57803838,57804415
MAPRE1P3,2,165285253,165286048
CTB-79E8.3,5,172656522,172656713
C4B-AS1,CHR_HSCHR6_MHC_QBL_CTG1,31924830,31932095
DXO,CHR_HSCHR6_MHC_QBL_CTG1,31960187,31962669
C4A-AS1,CHR_HSCHR6_MHC_QBL_CTG1,31990371,31993900
RP11-46H11.12,12,132887842,132888583
CTD-2626G11.2,19,20746923,20755250
CTB-58E17.5,17,38749360,38751457
AP000438.2,11,62909546,62918361
XXyac-YRM2136_A.2,10,133778258,133778498
SCARB2,4,76158733,76234536
DNM1P35,15,75727670,75738623
RP11-57A19.2,16,28284885,28292064
OR6C76,12,55426254,55427192
CHTF8P1,X,44633692,44635232
RP11-736I10.2,11,60077350,60078401
DASS-23B5.2,CHR_HSCHR6_MHC_SSTO_CTG1,32624375,32624782
PPIAL4A,1,120889746,120890405
RP11-728F11.4,11,117833719,117838942
RP11-439E19.10,1,246772301,246775772
HMGB1P19,8,123123106,123123682
CTA-85E5.7,22,30105094,30105408
MTND4P32,X,102799942,102801399
MTCO2P19,X,102797531,102798128
AP001189.4,11,76657056,76663866
YPEL4,11,57645087,57649944
YY1AP1,1,155659443,155689000
EMC4,15,34224999,34230156
PRSS37,7,141836286,141841487
MYL6P4,7,141811805,141812257
RP11-359J6.1,9,86414282,86414570
OR1F1,16,3204247,3205188
MEIS1-AS2,2,66439088,66441836
SNAP91,6,83552880,83709691
RP11-591L14.2,15,79743311,79743468
RP11-621H8.1,15,79668342,79668816
RP11-395C17.1,4,80386178,80388716
TNRC6C,17,77959240,78108835
CASP16P,16,3144219,3149963
SLC12A1,15,48191664,48304078
SNRPCP17,8,8116745,8116949
TMC8,17,78130770,78142968
NBPF10,1,146064699,146144804
OR5V1,CHR_HSCHR6_MHC_SSTO_CTG1,29356146,29432443
OR12D1,CHR_HSCHR6_MHC_SSTO_CTG1,29417758,29418704
LINC01257,12,131165011,131212931
FKBP4P1,4,118193405,118194751
CTD-2562J17.9,11,75264289,75265170
CTD-2582D11.1,17,73894749,73911878
FDX2,19,10310045,10316015
FTLP14,16,68822587,68823070
TARS2,1,150487364,150507609
RP11-568G20.2,15,59871511,59873495
MAFA,8,143419182,143430406
NOS1,12,117208142,117452170
RP11-394B2.6,16,70747057,70747926
RP11-349F21.5,8,17500012,17500605
RP11-394B2.7,16,70768356,70768785
RP11-394B2.3,16,70768967,70770221
RP11-382A20.5,15,82925884,83103443
TMED3,15,79311062,79427432
CTD-2195M15.4,5,127588746,127590710
GNG13,16,798041,800733
FOXG1-AS1,14,28729083,28765277
LINC01154,12,54428303,54429403
RP11-73M18.6,14,103687576,103688127
AC007620.3,3,179396961,179399191
RP11-626G3.1,16,81261924,81264091
HNRNPAB,5,178204507,178211163
LINC01556,CHR_HSCHR6_MHC_SSTO_CTG1,28944738,28945398
URI1,19,29923644,30016608
PKP3,11,392614,404908
PLEKHG5,1,6466092,6520061
C1QL4,12,49332411,49337188
UBE2DNL,X,84934151,84934890
GPR22,7,107470018,107475659
RP11-157D18.2,1,42412398,42412794
SNRNP40,1,31259568,31296782
GCKR,2,27496842,27523684
RP11-680E19.1,11,106250019,106264905
MRPL32,7,42932200,42948958
AASDHPPT,11,106075501,106098710
FTLP6,11,66771246,66771667
BTF3P2,14,28673241,28673727
CTB-134F13.1,16,58116885,58119353
RP11-240M16.1,6,137945366,137972522
RP3-429G5.5,6,108178871,108179317
LAMA5,20,62307955,62367312
SYNRG,17,37514797,37609496
CASP1P1,11,105122661,105123339
PDE6A,5,149857955,149944793
RP11-361L15.5,16,67006672,67009481
VPS36,13,52412602,52450628
HNRNPKP1,5,127511464,127512842
RP11-19O2.1,5,16129178,16141602
LINC01623,CHR_HSCHR6_MHC_SSTO_CTG1,28860338,28864060
RP11-240G22.5,12,116948738,116951422
RP11-731J8.1,4,47490967,47491471
RPL23AP88,2,242175181,242175634
CTD-2619J13.27,19,58500505,58501137
HELZ2,20,63558086,63574239
AP005135.2,11,135061781,135075899
RP3-333A15.2,1,71005854,71006502
PIAS4,19,4007646,4039386
SIAH3,13,45777243,45851736
CCDC106,19,55641062,55653161
RP11-456O19.5,18,56061109,56063078
RPL34P19,10,31983885,31984554
SPRYD3,12,53064316,53079420
KRT18P32,1,238491358,238492644
CTD-2331D11.4,5,85446974,85447758
MTND5P18,1,237949736,237951536
TUBGCP2,10,133278630,133312337
AC026954.6,17,7330452,7335413
CTD-2331D11.2,5,85420028,85420451
SPG11,15,44562696,44663678
GJA4,1,34792998,34795747
RP11-365F18.3,7,139172516,139174266
AC018892.3,2,97035461,97037549
LINC01399,22,35119824,35231056
FNDC4,2,27491883,27495245
AC018892.8,2,97034442,97034706
RP11-397A16.1,18,55721063,55788761
LARP1BP1,4,63350114,63351472
PRPF4,9,113275343,113292905
AL157902.3,1,117596832,117605770
LINC01238,2,241970683,241977276
RP11-148K1.10,7,151028781,151029754
RPL39L,3,187120948,187180908
FBXL7,5,15500196,15939795
RNFT2,12,116738178,116853631
RP11-89H19.2,12,47905122,47906865
RP11-407P2.1,12,116755395,116755874
MARK2P5,5,15384220,15384853
ZNF579,19,55576770,55580845
RP1-288L1.5,22,34703126,34704885
ZFP57,CHR_HSCHR6_MHC_QBL_CTG1,29672300,29681010
PTPN6,12,6946468,6961316
CTC-384G19.1,5,85112342,85112756
AC012075.1,2,81418723,81419302
IL4R,16,27313668,27364778
RP11-30P21.2,4,62291562,62292337
PTPRN2,CHR_HSCHR7_1_CTG7,158291152,158424386
RP11-143E21.3,12,130138693,130140768
ERICH6B,13,45534522,45615739
RP11-51B23.3,11,12538083,12540967
MTND4P7,8,13353401,13353530
EIF2B1,12,123620406,123633766
IGLJ1,22,22893692,22893818
CTD-2006M22.2,3,73624410,73627626
PDZRN3-AS1,3,73621713,73626796
H19,11,1995163,2001470
PRR7,5,177446445,177456286
PEX11A,15,89677764,89690783
RP11-269F20.1,1,243545532,243548329
RP4-639J15.2,7,157087955,157088543
DEFB107B,8,7495846,7509311
LRRC8D,1,89821014,89936611
BMP6,6,7726797,7881422
OR5BE1P,11,56082801,56083739
RP11-67H2.1,8,113600310,113616958
SSC5D,19,55488404,55519098
CTD-2269F5.1,5,84384427,84490765
TAL1,1,47216290,47232220
RPL23AP11,14,102662240,102662708
RPL23AP50,6,107931800,107932254
SNRPGP6,10,116409256,116409475
HRH3,20,62214970,62220267
RP1-167A14.2,6,166969626,166999065
RP11-143K11.5,17,73164977,73196593
RP11-429J17.5,8,143718246,143718891
MAPK15,8,143716259,143722458
TNNT2,1,201359008,201377762
RP11-702H23.6,11,74455348,74456825
CTB-88F18.4,5,127176696,127177050
RP11-846C15.2,18,45130565,45181347
RP11-252A24.5,16,74422120,74435254
SNX12,X,71056332,71073426
CTB-89H12.4,5,149494314,149504670
AL133247.2,2,31526942,31563464
RP11-484D4.3,1,84636158,84637106
RP5-1041C10.3,20,49829125,49831085
EPHA4,2,221418027,221574202
LIMS1-AS1,2,108676795,108678601
CTD-2308L22.1,2,221572506,221574454
NAMPT,7,106248285,106286326
GBP1P1,1,89407679,89426243
SLC39A11,17,72645949,73092712
BCRP7,22,18855621,18858640
CRB3,19,6463777,6467221
OR7E126P,11,71903194,71904081
RP11-96A15.1,18,34892013,34902885
GTF2H4,CHR_HSCHR6_MHC_COX_CTG1,30898049,30903971
RP11-849H4.2,11,71865509,71928654
GS1-590J6.2,X,11704123,11705590
BAG6,CHR_HSCHR6_MHC_MANN_CTG1,31678475,31692158
RP11-155N3.4,13,98871742,98872005
RP3-329E20.2,1,21266082,21267251
IGLV3-19,22,22720623,22721145
IGLV3-21,22,22711689,22713203
RPL24,3,101681091,101686782
RPL7AP23,3,82319172,82320279
RP11-136C24.3,3,42809446,43055871
AP001469.5,21,46220269,46225364
RP4-613B23.5,3,42757177,42804518
GML,8,142834247,142916506
RP11-361L15.4,16,66942712,66963256
TXNDC11,16,11679080,11742878
CTD-2372A4.1,5,73803296,73803599
ARG1,6,131573144,131584332
CARS2,13,110641412,110713603
LAIR1,CHR_HSCHR19LRC_COX2_CTG3_1,54360692,54377679
ERMN,2,157318625,157327713
EBLN2,3,73061659,73063337
RP11-383C6.2,10,114994657,114996593
TCHH,1,152106317,152115454
KDM8,16,27203495,27221768
CTB-55O6.10,19,14119106,14119537
RP11-771K4.1,12,31363481,31369301
RP11-311H10.7,9,33449755,33449941
TRIM51,11,55883297,55891810
RP5-844F9.1,7,44367140,44369292
IGLV3-27,22,22668288,22668806
RP11-719K4.7,CHR_HSCHR16_1_CTG1,15351236,15351605
RPL7P41,12,52885429,52886385
CCDC149,4,24806117,24980204
BTBD6P1,1,23901471,23902737
CTC-260F20.3,19,19516227,19536076
XKR4,8,55102389,55542054
TTL,2,112482154,112541739
MAS1LP1,CHR_HSCHR6_MHC_DBB_CTG1,29474955,29476001
ADAM21,14,70452157,70459899
RP11-486O13.4,14,70425812,70547464
FABP7,6,122779475,122784074
CTA-223H9.9,22,41430934,41431375
PPP1R26P2,22,18650023,18653617
FCF1P8,4,55351812,55352408
OR5D13,11,55773438,55774382
RP11-58A18.2,16,86698118,86698841
CYP4F32P,2,94759259,94760279
XXyac-YX65C7_A.3,6,169286534,169289216
CAP1P2,10,43604843,43606251
RP11-732A19.8,11,6603642,6604420
CCDC163,1,45493866,45500079
OR4C15,11,55554307,55555419
RP11-972P1.11,12,123519390,123519856
RP11-192H23.5,17,28573117,28574243
ORAI2,7,102433106,102456821
SPAG5-AS1,17,28598790,28617377
AC008074.3,2,64395220,64453798
RPL35P1,1,236981339,236981708
SNRNP35,12,123457641,123473154
ANKRD18EP,6,39110321,39112952
RP11-517P14.2,10,43420738,43422100
AGAP11,10,86970741,87010126
TMOD3,15,51829628,51947295
ADIRF-AS1,10,86965345,86971311
RP11-867G2.6,11,94641907,94651631
RP11-92C4.4,9,98890590,98891937
C4B,CHR_HSCHR6_MHC_COX_CTG1,31969570,31983859
ADCY8,8,130780301,131042426
CSMD2,1,33513999,34165842
OR4A17P,11,55444435,55445338
EHD3,2,31234337,31269447
EVC,4,5711197,5814305
RP3-325F22.3,6,136629172,136647999
SPPL2B,19,2328615,2354806
ARL2BPP2,12,52763405,52763893
ZSWIM8-AS1,10,73796514,73801399
ZC3H11A,1,203795654,203854999
MRE11,11,94415578,94493908
LINC00475,9,92141298,92160114
MRPL51,12,6491886,6493841
XXbac-B33L19.15,22,18527157,18527626
RP11-794M8.2,18,13183402,13185617
RP11-40G16.1,6,91815843,91816428
RP11-70L8.5,9,21892188,21893857
IGLV7-46,22,22369614,22370087
KIR2DL4,CHR_HSCHR19_4_CTG3_1,54811737,54822719
RPL21P65,6,106642463,106642928
RP11-388C12.1,17,82713908,82716255
ART1,11,3645128,3664416
HAGH,16,1795620,1827194
CTD-3074O7.2,11,66558866,66560384
UTP14C,13,52024691,52033600
KIR2DL4,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1,54789912,54800893
RING1,CHR_HSCHR6_MHC_DBB_CTG1,33186401,33190628
CTD-2110K23.1,5,83201229,83202141
LY6G6F,CHR_HSCHR6_MHC_COX_CTG1,31694294,31698004
UCHL5,1,193012250,193060080
PURG,8,30995802,31033715
SUMO2P16,8,31131539,31131802
ARGFXP2,17,32150433,32151504
RPSAP51,12,8742428,8743072
MEIOC,17,44656404,44690308
IFNWP19,9,21455484,21456049
ARHGAP22,10,48446034,48656265
CCDC43,17,44673069,44689779
CRADD,12,93677375,93894840
ADGRG2,X,18989309,19122637
RP11-347H15.1,11,50170156,50190441
RPS3AP35,8,12628476,12629256
PLD5,1,242082986,242524696
RP11-53L24.2,16,73794079,73809733
MMEL1,1,2590639,2632990
MPHOSPH9,12,123152320,123244014
PPCDC,15,75023555,75117462
UBR3,2,169827458,170084131
C12orf65,12,123232916,123257959
AC004987.10,7,39833286,39833793
FTH1P25,1,185071567,185072035
STEAP2-AS1,7,89882353,90211635
IFNA12P,9,21403081,21403651
OR4F16,1,685716,686654
MTATP8P1,1,633535,633741
RP11-408J6.1,15,47274183,47275164
AC008079.9,22,18178038,18205915
AC084149.1,2,77672215,77673792
SCML2P1,18,6926944,6928210
OR4A19P,11,49920312,49921414
MTND2P28,1,629640,630683
AC007274.5,Y,7690511,7692678
LCN12,9,136949551,136955497
LINC01534,19,36685440,36687449
RP11-60L3.6,15,74311516,74319688
FAM86KP,4,9153296,9165451
RP1-120G22.11,1,6204840,6205780
UBXN4,2,135741619,135785055
RP11-395I6.3,4,40166675,40167831
RP11-15J10.8,9,65219987,65230861
IFNA5,9,21304326,21305312
AC006994.1,2,210088226,210089064
UNC93B8,4,8959628,8963981
CTB-180A7.3,19,6343761,6362149
RP11-33A14.1,3,178202050,178385417
AC068580.7,11,1776930,1778388
RP3-432I18.1,12,47593208,47593440
RP11-138B9.1,7,49760897,49762764
RP11-493L12.5,12,47353754,47369935
NDUFS6P1,3,135959275,135959590
SH2D1A,X,124227868,124373197
ANKRD13D,11,67288547,67302485
CH507-396I9.3,21,7788703,7793954
MYO1E,15,59132434,59372900
GDI2P1,7,48902556,48903891
RP11-356M20.3,15,59348648,59359889
RP11-356M20.2,15,59401221,59402004
RP11-4O1.2,9,112032555,112037730
RP3-384D21.2,X,124688504,124688838
LINC02147,5,117925008,118266035
USF2,19,35268978,35279821
MBOAT7,19,54173412,54189882
CD1E,1,158353696,158357553
RP11-294C11.2,15,21742364,21742799
KRT18P17,3,12787393,12788671
RPS23P5,5,82265157,82265259
ZNF788,19,12092263,12137235
SEPT14P13,1,485026,485208
EFCAB5,17,29929200,30108452
RP4-669L17.8,1,491225,493241
RP11-68I3.4,17,29569580,29570519
S100A12,1,153373706,153375649
CTC-359D24.3,19,12141806,12143322
MTNR1B,11,92969720,92985066
SLAMF6P1,1,162445549,162446566
CTD-3032J10.3,19,17207138,17208010
RP11-82O19.2,17,29775747,29776701
RP11-1081L13.3,11,18870989,18873462
CTD-2568A17.1,19,50776141,50793142
RP11-459F1.2,6,166099665,166113273
CARD9,9,136361903,136373681
BBS2,16,56466836,56520283
PDXDC1,CHR_HSCHR16_1_CTG1,15241230,15297417
AC114737.3,7,76968346,76968518
RP11-40E6.1,13,109785831,109808252
RP11-382B18.5,15,30420283,30420429
USP47,11,11841423,11959323
OR4F8P,19,156279,157215
SLC16A14P1,8,106215763,106217218
RP11-315L6.1,15,97272177,97319288
RP11-460I13.6,1,27990158,27990524
ANKRD13B,17,29589769,29614761
LILRP2,CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1,54707916,54713453
PIKFYVE,2,208266267,208358751
RP11-68I3.10,17,29621617,29622254
RP11-14C22.6,10,30723251,30723740
TRAJ23,14,22520416,22520478
RP11-687D19.1,18,38655209,38687998
CTSG,14,24573522,24576260
PRR3,CHR_HSCHR6_MHC_DBB_CTG1,30547117,30553954
MYL8P,CHR_HSCHR6_MHC_COX_CTG1,33260584,33261101
C9,5,39284262,39424868
NUS1P4,13,98610292,98610876
S100Z,5,76850001,76921650
RP11-168J18.6,3,52373652,52374882
APEH,3,49674002,49683963
AC012454.4,2,85686053,85687047
AMIGO3,3,49716834,49719695
PPAN,19,10106289,10111634
DNAH1,3,52316319,52400491
RP11-756D7.1,11,11759101,11759433
RP11-293E1.1,CHR_HSCHR17_2_CTG5,45744950,45746266
RP11-442J21.2,13,44684487,44715393
BCLAF1,6,136256627,136289851
ATF6,1,161766294,161964070
PTPRU,1,29236516,29326813
HDLBP,2,241227264,241317061
FRG1CP,20,28580709,28602664
MRPS21P6,10,125166677,125166937
TAS2R15P,12,10964425,10965352
RP5-1016A21.1,20,60761874,60767279
TRABD,22,50185915,50199598
TBC1D22B,6,37257772,37332970
TMEM171,5,73120292,73131817
TMEM40,3,12733525,12769457
RP11-181D18.4,8,73511276,73511654
TYRP1,9,12685439,12710290
RP11-572N21.1,2,174334438,174337566
LARS2,3,45388506,45549421
WDR17,4,176065834,176182818
TAPBP,CHR_HSCHR6_MHC_COX_CTG1,33221298,33235989
MAPK1,22,21754500,21867680
RP11-324J13.2,4,43457527,43492543
RP11-23D5.1,9,11275314,11276314
NCR1,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54977550,54981465
ARID3A,19,925781,975934
RP11-327P2.6,13,51921251,51921587
RP11-522B15.3,15,96354237,96403803
MAP3K8,10,30433937,30461833
RPL34P31,17,27274107,27274477
RP11-449I17.9,10,30383400,30383622
RP13-16H11.7,10,26643228,26645016
RP11-798G7.7,CHR_HSCHR17_2_CTG5,45561416,45570373
RP11-133K1.7,15,40232082,40236109
KISS1R,19,917287,921015
IGSF22,11,18704305,18726230
HIVEP3,1,41506365,42035925
CTB-35F21.5,5,139775305,139775472
RP1-118J21.24,1,39795843,39795996
TTTY8B,Y,6470773,6473630
HNRNPA1P46,1,191146025,191146961
RP11-6J24.3,9,4633027,4633756
CH507-254M2.1,21,7048891,7087229
GP9,3,129060767,129062406
IL19,1,206798870,206842981
SNX5,20,17941597,17968980
PTPN5,11,18727928,18792721
PTPN11,12,112418351,112509913
RP11-313I2.10,11,89766440,89768836
RP11-285M22.1,17,22692834,22693613
UBTFL2,11,89752785,89753975
RP11-285M22.2,17,22693325,22694831
TRIM77,11,89710299,89717872
IGKV2-26,2,89196096,89196829
RP11-976B16.1,14,88819608,88822151
PSMC3IP,17,42572315,42577831
RPL41P5,12,93083598,93083675
TPT1P7,7,23811144,23811660
NANS,9,98056739,98083075
LAIR2,CHR_HSCHR19LRC_COX1_CTG3_1,54429706,54442942
RP11-793K1.1,6,51537155,51537543
MTPN,7,135926761,135977353
AC015987.1,7,135926455,135932881
KCND3-AS1,1,111909336,111910931
TRAV30,14,22168429,22168988
RP11-398J10.2,15,95463592,95493770
RP11-355F16.1,2,75154366,75189949
CT45A6,X,135794706,135802656
RP11-353M9.1,10,13729383,13756200
LINC00284,13,43908669,44030461
AC010150.1,2,25856461,25856966
CTA-797E19.1,11,70319928,70321415
LINC01003,7,152463786,152465549
PLAT,8,42175233,42207724
RP11-385F5.4,1,236540094,236550280
SRPK2,7,105110704,105399308
RP4-778K6.1,7,105244652,105244970
AC010872.1,2,21023496,21024170
ASH2L,8,38105242,38144076
AC091633.2,3,195554610,195555083
TNPO2,19,12699194,12724011
KIR2DL1,CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1,54769704,54783960
RP11-509J21.2,9,3647335,3648338
RP11-70D24.4,16,79619469,79620110
RP13-465B17.4,CHR_HSCHRX_2_CTG3,385960,404559
LINC00909,18,74591774,74598508
NAT6,3,50296402,50299421
HMGN2P13,3,153067278,153067551
CACNA1G-AS1,17,50556207,50562108
TFAP2D,6,50713828,50772988
FASN,17,82078333,82098332
LCE6A,1,152842868,152843983
RP11-178A10.3,10,42470082,42470268
SULT2A1,19,47870466,47886397
AC003101.1,17,31571142,31575659
AC104306.1,3,32507955,32508325
ARHGAP27,CHR_HSCHR17_2_CTG5,45393902,45434423
CTB-22K21.2,17,50627032,50631940
RP1-41C23.1,17,31583162,31637543
LINC00839,10,42475543,42495336
RP3-503A6.2,6,38714051,38715217
