HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
RPL39P25	10	77029150	77029303
	1	84481548	84484054
	2	178467817	178483300
	6	72038645	72039509
	5	2831135	2835253
LINC00533	6	28616063	28616843
LINC01158	2	105424030	105469641
ATP5F1P6	6	139935575	139936341
PFDN6	HSCHR6_MHC_MCF	33427426	33436525
	4	189270530	189271178
ABO	9	136125788	136150617
	19	15937855	15946663
	2	7401002	7401635
	2	178563157	178588017
NARG2P1	4	189308625	189310820
	1	227698297	227708178
RPSAP2	6	28699794	28700681
	4	69870574	69886132
ZNF503-AS1	10	77029577	77133258
	6	139981065	139982650
FKBP8	19	18642561	18654887
LINC00472	6	72054047	72130472
	1	142653525	142653607
	16	32399456	32447521
SNRPE	1	203830731	203839678
UCA1	19	15939771	15947130
	1	84542014	84543614
	1	142653718	142653799
	5	88762354	88765856
RNA5SP77	1	227748882	227749001
	5	2965120	2967742
	1	142656062	142656144
	6	28743693	28743800
LINC01060	4	189321890	189602205
HEBP2	6	138724668	138743334
	1	84551424	84551916
	1	227786125	227786795
	7	63567200	63567950
SNX18P15	1	142660017	142660749
	6	28751410	28751781
IYD	6	150690028	150727105
	2	178817838	178876716
MIR3118-2	1	142667289	142667363
MIR3118-3	1	142667289	142667363
MIR3118-1	1	142667289	142667363
	1	84710017	84710260
MARCH6	5	10353815	10440500
SNX32	11	65601112	65624367
	6	28763749	28763812
	1	227832981	227833067
API5P2	2	178862000	178863497
SNX18P16	1	142688379	142688925
	6	28805646	28806783
ZNF847P	1	227884593	227894412
	2	7464879	7465193
ANKRD20A12P	1	142697653	142729971
	6	140175987	140181288
SNORD99	1	28905261	28905334
	2	178882720	178883192
	6	28827402	28832407
PABPC1P13	16	32450390	32452480
	5	3178209	3181346
	1	84743004	84743140
	1	28969740	28975093
OTOL1	3	161214596	161221730
RNU6-629P	2	178903629	178903731
	19	15962803	15975714
	2	88000503	88038766
TOP3A	17	18174742	18218321
CYCTP	2	178957230	178969197
	5	132592184	132611669
	1	84810361	84815622
SNAP47-AS1	1	227931532	227934892
RNA5SP276	8	117034911	117035004
COCH	14	31343720	31364271
GIMAP1	7	150413645	150421372
STS	X	7137497	7272851
	8	117148998	117149139
RPL13P	6	28829193	28829824
RNU11	1	28975112	28975245
MIR5008	1	228129291	228129384
ZNF251	8	145946298	145981802
	8	117299588	117299698
RNU6-23P	16	70479196	70479302
	8	117414781	117415995
C4orf45	4	159814286	159959912
SNORD111B	16	70563412	70563491
CICP26	1	228162980	228165894
	19	15982477	15982662
	5	132723465	132724241
	1	29016177	29016306
ZNF90P2	6	28856609	28857683
SNORD111	16	70571908	70572001
	1	29194087	29197779
RAD21-AS1	8	117886663	117889107
	2	178970364	178970480
MIR1289-2	5	132763288	132763398
	16	70610204	70611571
	6	140177241	140198528
	5	132961536	132961639
	16	70780960	70781829
	1	29196995	29203848
	7	63568207	63568864
	12	55076757	55081218
MIR3610	8	117886967	117887039
	5	133056186	133056625
RNU5E-9P	2	179007275	179007378
HCG14	6	28864307	28865099
HSPG2	1	22148738	22263790
ZDHHC20P1	HSCHR6_MHC_QBL	29675809	29676231
	6	140388572	140414858
UOX	1	84831111	84863514
ILF2P1	3	65672976	65674143
RN7SL228P	8	118030185	118030485
	2	7561392	7590385
	2	179265561	179267618
VAC14-AS1	16	70789001	70807154
IRF7	11	612553	615999
	1	142790233	142790520
PMEL	12	56347889	56367101
MIR3620	1	228284964	228285042
MSRB2	10	23384435	23410942
	1	29208238	29208347
	5	133186548	133186648
	8	118068057	118068384
	16	32465933	32470079
MIR30C2	6	72086663	72086734
HCG4P11	HSCHR6_MHC_QBL	29688220	29689210
	5	133249368	133252960
	1	29308790	29309120
	19	16013110	16014048
FAM96AP2	1	228302698	228303174
NFKBIE	6	44225903	44233500
	7	63569003	63570525
MIR30A	6	72113254	72113324
RNU6-930P	6	28883422	28883521
RPL17P17	3	65829565	65830121
PAPSS1	4	108511433	108641608
KRT18P1	6	28936907	28938237
MAGI1-IT1	3	65858490	65940233
	6	72160537	72168577
	5	133340838	133341253
BASP1	5	17065707	17276943
	8	118140694	118142538
	HSCHR6_MHC_QBL	29691842	29714292
	1	142790583	142791175
	1	228322486	228322693
	1	29312222	29312322
MAGI1-AS1	3	65879491	65910972
	2	105469743	105542510
	6	72248587	72248679
RN7SL826P	8	118176207	118176492
	1	29471006	29473506
TMEM41B	11	9302201	9336327
	5	133417605	133417731
	6	72260661	72261346
	8	118325767	118325900
MTMR11	1	149900543	149908791
RN7SL471P	6	28945252	28945547
	2	179278666	179304970
	2	105481865	105483954
	11	1295809	1296033
RPS10P16	8	118535510	118536300
	1	228458144	228462098
KRT19P1	6	72294424	72295609
HCG15	6	28953980	28955261
	1	29479001	29479503
	19	16021392	16022634
	16	70835986	70836743
WIPF1	2	175424300	175547644
	1	29550445	29551328
	1	228462285	228463767
RPS26P35	8	119774095	119774440
HCG16	6	28954577	28956313
	5	133541305	133706735
PKHD1	6	51480098	51952423
	1	228483612	228490699
RBP2	3	139171726	139199589
	1	142791488	142792556
CYP4F9P	19	16090645	16109830
OR2AD1P	6	28994457	28995384
RNA5SP220	6	140479728	140479831
RNU6ATAC25P	16	70886601	70886717
MED28	4	17616254	17635728
	6	72294792	72294904
RNU6-12P	8	119988752	119988858
MIR3668	6	140526389	140526463
	16	70902110	70902171
	1	228571815	228572717
RNU4-66P	6	72362177	72362314
OR2P1P	6	29039601	29040376
	8	119994818	119995114
	16	70907087	70907216
	1	29580054	29580195
	6	72936410	72936533
	6	140981760	140981850
	1	228581991	228584668
ASNSP5	1	142799587	142799739
RNA5SP138	3	126283408	126283521
MIR4465	6	141004951	141005020
	6	73026302	73027139
	1	29656132	29676626
VDAC1P5	12	55196530	55197373
	16	71114769	71127570
	8	120075181	120081021
STK19	HSCHR6_MHC_QBL	31929344	31939616
	3	126343635	126344904
	6	29044350	29044945
RPS3AP24	6	141082666	141083399
	1	228595082	228597395
	11	89231916	89232366
	22	24000281	24059543
	1	29758993	29759074
	12	55403530	55408031
	16	71147255	71147903
	4	189552078	189552901
	6	73232343	73232940
	1	142803224	142816004
	1	29814705	29823405
	6	29091987	29096685
	1	228636864	228637322
	2	179319443	179320155
	11	89279805	89322779
OR9K1P	12	55509317	55510257
	16	71335486	71336772
RNU7-192P	4	189637819	189637879
LINC01159	2	105481955	105489053
CD209	19	7804879	7812464
NUP210P1	3	126379452	126390782
MAL2	8	120177273	120257913
OR2N1P	6	29105657	29106593
	6	73308179	73309362
	4	189659506	189660648
KCNQ5-IT1	6	73340223	73388282
	12	55516452	55517904
SEZ6L	22	26565440	26779562
	5	88877026	88973518
ANKRD20A14P	1	142803532	142827235
RPL23AP1	HSCHR6_MHC_QBL	29691910	29692380
	1	30117392	30117525
	16	71365092	71365202
	X	52684257	52686304
	1	30181698	30182394
	16	71444343	71460367
MIR4282	6	73677410	73677476
	4	189678833	189700133
	2	105552869	105654954
	6	141167095	141174061
SOX13	1	204042243	204096863
MIR4666A	1	228649775	228649853
OR2J4P	6	29149287	29150222
	5	89196481	89200725
	6	141243594	141244047
	1	30357749	30357852
HIST3H2BA	1	228651804	228652327
	16	71454386	71455421
MIR3661	5	133561448	133561543
KNOP1P4	6	73696036	73697473
MICE	HSCHR6_MHC_QBL	29706972	29714212
	1	30377712	30378204
	2	105609360	105609438
	1	142950985	142956716
RNA5SP504	X	52694281	52694397
OR2H4P	6	29183013	29183956
SPATA1	1	84971974	85031877
SI	3	164696686	164796283
SSXP5	X	52701768	52706101
	2	105713510	105719402
	6	141768148	141772143
BTNL10	1	228696356	228700006
	7	99184538	99184622
OR52A4	11	5141849	5145743
RN7SKP106	6	141807278	141807549
PGAM1P10	6	73764820	73765580
	6	29191750	29258217
	5	89240727	89243390
RAPGEF2	4	160025330	160281321
FOLH1B	11	89371683	89431886
	1	143118704	143211070
VCX	X	7810303	7812184
MIR3660	5	89312438	89312537
RPS3AP23	6	141956787	141957640
	1	30486799	30510459
	16	71464165	71466185
	7	99195689	99208439
KCNQ5-AS1	6	73844526	73853237
OR2G1P	6	29197004	29197934
ARMC4	10	28064115	28287977
	22	24080865	24081476
OR51A1P	11	5191581	5192526
	X	52716413	52716683
	22	24198614	24199226
OR2U1P	6	29230480	29231856
	1	30613110	30614454
	6	73867240	73867862
	5	133562101	133563518
HSPA1L	HSCHR6_MHC_COX	31764773	31770218
	8	120227351	120259088
	X	52736652	52738983
	1	30699370	30699462
RN7SL268P	22	24221682	24221977
	5	133603112	133603547
	1	30882407	30884485
	22	24243619	24249255
	4	189697811	189706665
	5	133735186	133737612
SLC39A5	12	56623833	56631630
TTN-AS1	2	179385910	179639402
	5	89454156	89585888
OR52Z1	11	5198944	5199891
GIMAP5	7	150419341	150447121
	22	24269087	24271761
	1	30888672	30893955
	5	133758529	133759026
	4	189698833	189717787
KHDC1P1	6	73918806	73919803
OR2U2P	6	29236239	29237198
RNA5SP19	1	228743494	228743602
RNA5S1	1	228746015	228746133
	2	67350489	67442451
	2	105760571	105761882
LINC00661	19	16126097	16138272
	22	24282185	24284985
	9	136125788	136130950
GEMIN5	5	154266976	154317769
OR2B4P	6	29258488	29259430
RNA5S2	1	228748256	228748374
FAM129B	9	130267618	130341268
	4	189911869	189923229
	6	142383854	142384190
LINC01019	5	3417266	3536208
	11	5226271	5228538
MATN1-AS1	1	31191351	31199674
	22	24292105	24296229
	4	190114254	190126031
RNA5S3	1	228750497	228750615
	16	71476958	71477759
	11	5245678	5245869
	6	73972731	73972807
	4	190209831	190212490
	8	120400588	120400709
	9	136177953	136178046
SLC22A5	5	131705444	131731306
	6	142409370	142410356
	1	143119061	143233417
PLEKHM1	17	43513266	43568115
	8	120432150	120474590
FAM184B	4	17630929	17783135
	22	24305942	24306644
RNA5S4	1	228752738	228752856
HCG9P5	HSCHR6_MHC_QBL	29713532	29713756
HBBP1	11	5263184	5264767
	6	142572984	142580769
	6	73972938	74011124
DDX6P1	6	29297403	29298838
LCN1P2	9	136184629	136185304
	5	133764742	133796306
	8	120492519	120493015
RNA5S5	1	228754979	228755097
	16	71496181	71499844
	6	142583780	142583871
HSP90AA4P	4	190394119	190396346
TMEM261	9	7796490	7888380
	6	142847592	142959026
	5	133772402	133828210
	8	120630402	120630714
UBDP1	6	29432373	29437583
RNA5S6	1	228757194	228757312
	6	143069580	143074896
IFNGR2	21	34775202	34851655
PSMG3	7	1606966	1610641
ZNF34	8	145998499	146012730
RNU6-456P	5	133835869	133835975
RN7SKP153	8	120724070	120724385
	5	70070478	70074135
RNA5S7	1	228759414	228759532
RPSAP41	6	74000126	74000985
	HSCHR6_MHC_QBL	29715613	29715714
RN7SL396P	8	120874902	120875181
	5	133842243	133844920
CDH18	5	19473060	20575982
	6	143109260	143115223
PNPLA4	X	7866288	7895780
CDH12P1	5	70156112	70156406
SLC51B	15	65337708	65345734
HSPA1A	HSCHR6_MHC_COX	31770617	31773099
	5	3452930	3461774
MAS1LP1	6	29442802	29443848
IFITM4P	HSCHR6_MHC_QBL	29715969	29716389
MIR4420	1	31212003	31212079
	8	120879659	120886728
RNA5S8	1	228761656	228761774
	6	143267184	143277835
	9	136204565	136204661
	1	143154493	143169717
RPS17P1	6	29457048	29457453
	2	67551759	67552436
	2	105865861	105866251
	1	31283225	31288400
MIR3118-2	1	143163750	143163822
	6	143271348	143277783
RNA5S9	1	228763895	228764013
	9	136205827	136206302
	1	143188828	143189695
	5	70328995	70330227
RN7SL541P	5	133853501	133853785
RNA5S10	1	228766137	228766255
RNA5SP277	8	120903372	120903469
	16	71547766	71551752
EIF3EP1	6	74001685	74003000
DAAM2	6	39760142	39872648
	4	190580759	190582640
	6	29465286	29478333
	1	31297075	31307131
	2	105940667	105946986
	15	69617632	69617759
	6	143287558	143359214
	7	22921512	22922009
	8	121064419	121068440
	11	5265784	5266777
	5	3496343	3504118
SDCBP2P1	6	74032560	74033173
	2	67789199	67801176
RNA5S11	1	228768378	228768496
RNA5SP398	15	69659924	69660020
	16	71573737	71575728
PAICSP3	6	74037247	74038740
	15	69683531	69684488
MTATP8P2	2	88124461	88124662
RNU6-1311P	5	133970529	133970635
RNA5S12	1	228770618	228770736
RNU6-1061P	16	71597333	71597431
LINC01015	6	29497197	29501345
OR5M12P	11	56396408	56397345
IL21-AS1	4	123540138	123610311
	7	99235865	99236390
RNU6-1164P	5	134036862	134036968
	6	143360562	143363461
	8	121647798	121650444
	16	71599692	71612090
SNORD24	9	136216251	136216325
RNU6-757P	5	134051173	134051272
RNA5S13	1	228772843	228772961
	1	143211628	143240439
	3	126390949	126392066
	15	69689243	69707368
ARL1	12	101786898	101801598
	6	143415171	143420782
	5	3596325	3600302
RPL39P33	17	54650401	54650556
	5	134140468	134140822
RN7SKP91	1	31316670	31316957
	8	121773493	121789072
HLA-V	HSCHR6_MHC_QBL	29756044	29762764
RNA5S14	1	228775084	228775202
	2	105950484	105953932
	1	31331005	31333101
OR51AB1P	11	5312991	5313610
OOEP-AS1	6	74079427	74097440
SNORD36B	9	136216950	136217023
	16	71657611	71660719
	5	134198781	134199123
OR5AP1P	11	56400640	56401579
	5	4012822	4013763
RPL39P3	6	74082831	74082986
	5	70370052	70389020
	8	121824459	121825599
RNA5S15	1	228777315	228777433
	16	71688930	71698115
	15	69698780	69698891
	6	143619907	143620691
SNORD103A	1	31408535	31408620
RCC2P4	3	126485277	126486318
	2	105979495	105995296
GPR53P	6	29505481	29506564
	15	69726805	69727459
	11	56405463	56405549
RNU6-208P	16	71699994	71700100
RNA5S16	1	228779556	228779674
SNORD103B	1	31421964	31422049
	2	88268128	88268490
	8	121925305	122131994
CETN4P	4	123651703	123653348
	17	54946308	54946925
OR2I1P	6	29520996	29521943
SNORA70D	16	71732470	71732604
OR2AH1P	11	56436493	56437420
	5	4033826	4041877
RPS6P8	6	74100761	74101490
LINC00905	19	16142117	16152926
SNORD85	1	31441011	31441083
	8	122081628	122081814
INO80B	2	74682150	74688011
	16	71757083	71758133
RNA5S17	1	228781787	228781905
	3	126921215	126921316
	8	122125598	122126159
	1	31509581	31510087
	11	5326206	5526882
SNORD36A	9	136217311	136217383
	5	134258993	134259739
	3	126940037	126940724
RNU6-1147P	2	128074449	128074555
	16	71760878	71761895
OR2H5P	6	29541686	29542613
	15	69750281	69750488
	8	122198998	122199132
RNU6ATAC37P	2	7716972	7717102
WBP1LP5	15	102427557	102427970
RNU6-1158P	17	54948531	54948637
	2	128146706	128158156
RNA5SP18	1	228783659	228783779
	11	56457941	56458199
	15	69750861	69754145
	5	4135795	4143761
RPL35AP19	8	122392377	122392705
RBP1	3	139236276	139258671
	17	54962000	54962180
DUSP5P1	1	228744885	228788150
	1	31523719	31523881
MTND6P4	5	134259813	134260334
MIR585	5	168690605	168690698
	17	54966241	54969202
	6	74103636	74103736
	15	102443357	102443407
HSPA1B	HSCHR6_MHC_COX	31782890	31785413
IDE	10	94211441	94333833
SNORD36C	9	136217702	136217767
CNFN	19	42891171	42894439
	6	74142707	74142807
IPO7	11	9406169	9469673
MIR4783	2	128181113	128181194
	11	56503792	56503938
MIR3614	17	54968631	54968716
RASL12	15	65345679	65369028
TMEM183AP1	6	29545236	29545525
MIR450B	X	133674215	133674292
	6	143648412	143648792
	2	67792736	67911209
	8	122555137	122555235
	4	123736926	123737272
RNU6-1047P	3	126959811	126959917
VCX2	X	8137989	8139308
RNU6-975P	6	74173796	74173900
	17	55017293	55018636
RNU6-477P	5	168979453	168979559
SEPW1P	1	31567834	31568405
OR4G2P	15	102467008	102467910
MIR450A1	X	133674371	133674461
	6	74186781	74186865
	2	68023186	68052694
	2	106462990	106473633
	5	89648854	89652426
	4	123748169	123748245
	1	228788183	228788307
	5	169199970	169206369
	6	74197315	74197600
OR9G3P	11	56507655	56508572
HAS2-AS1	8	122651533	122656933
MIR450A2	X	133674538	133674637
	17	55029025	55029765
	4	123761498	123761845
	9	136476920	136498221
	3	127002924	127003524
	2	7811735	7812377
	6	74201748	74202465
FTH1P2	1	228823162	228823574
	X	102411048	102411139
	15	69755365	69863775
SNORD32B	6	29550026	29550109
TAMM41	3	11831916	11888393
	4	123803033	123805867
MIR542	X	133675371	133675467
FAM138E	15	102495088	102496615
	3	127041150	127109513
RNU7-153P	8	14176964	14177025
	2	88272175	88272601
MTND5P11	5	134260338	134262149
	5	70384459	70384562
RPL13AP	6	29550285	29550802
	6	74233341	74280319
	2	128221218	128263373
	X	102460938	102461827
SNORD78	1	173834760	173834824
	5	70398725	70424580
	1	31581035	31581470
	12	94561782	94579820
RGL2	HSCHR6_MHC_MCF	33429778	33437523
KRR1	12	75890684	75905416
	17	55060110	55062465
RNA5SP67	1	173890208	173890338
	4	123928727	123928818
	6	143663383	143664520
MTND4P12	5	134262350	134263726
OR9G2P	11	56518499	56519378
	1	228912059	228912612
MIR503HG	X	133677367	133680741
	4	190625035	190625644
	5	4436963	4440372
RNA5SP68	1	173938456	173938574
	6	74236467	74236602
	17	55080344	55080444
	1	228993757	228994303
	4	124181104	124181273
SUMO2P1	6	29603837	29604120
ISCA1P2	1	229177918	229178338
	12	94665926	94670971
RC3H1-IT1	1	173978405	173985344
SNORD71	16	71792305	71792390
RPS27P15	6	74328069	74328320
RNF126P1	17	55122839	55124158
RNU1-51P	4	190630693	190630868
	8	14190064	14190172
	6	143707718	143708546
	1	143243809	143244859
SNX33P1	19	16145586	16147347
MIR4461	5	134263720	134264016
OR5G1P	11	56542737	56543682
	16	71867690	71869835
RNU6-397P	8	14345285	14345388
RN7SL330P	12	94754996	94755300
BRSK2	11	1411129	1483919
DBH-AS1	9	136519708	136522435
MTND4P18	10	36723638	36724102
	4	124411423	124443261
	1	173991647	173992123
	2	68250826	68251898
	6	74403626	74405854
	4	190701490	190861426
ZDHHC20P1	6	29675902	29676324
RBMS2P1	12	94817520	94818745
APOB	2	21224301	21266945
	5	89684285	89685180
MIR378E	5	169455492	169455570
	X	102513500	102514509
	2	7865932	7870836
	1	31736092	31736528
	1	229228562	229230652
OR5G4P	11	56557682	56558441
OR51B3P	11	5336002	5336914
	11	89433932	89434493
	2	106575540	106578462
	4	124426434	124448680
TUBB8P2	6	143757353	143757847
OR1AB1P	19	16162739	16163499
	1	143245164	143245590
	8	122684013	122696802
	2	68352397	68352879
KRT18P41	5	169567668	169568944
RPL30P1	1	174059274	174059612
HCG4P11	6	29690758	29691748
	16	71915456	71916176
	1	143245823	143246210
	12	94885322	94890218
	1	229359208	229363309
RNA5SP221	6	143770946	143771048
	11	89456650	89460421
CDH12P4	5	70428820	70429114
DCAF16	4	17802278	17812381
	8	122691366	122719871
	5	4452043	4866334
	10	36727544	36731320
RN7SL483P	12	94909252	94909536
	16	71952815	71959638
	19	16176547	16177122
VCX3B	X	8432871	8434550
	2	88310621	88310721
TXNP7	6	74714236	74714528
MIR4461	5	134263729	134263802
	1	229394028	229406775
	1	143342844	143343247
	12	94914866	94915645
LINC01091	4	124571422	124851561
HLA-F-AS1	6	29694378	29716826
	8	122896963	122916512
	9	136627017	136628425
OR5G5P	11	56569332	56587184
	X	52751387	52751573
	2	68406965	68407664
	6	143806116	143828464
NAMPTL	10	36810649	36813162
	5	134264083	134264217
MUS81	11	65624597	65635124
	19	16214571	16215064
SUCLG2P2	12	94942017	94943312
STK38	6	36461669	36515247
OR51B8P	11	5351822	5352590
	8	122966879	123139423
MIR1302-11	15	102500051	102501611
MIR1302-10	15	102500051	102501611
MIR1302-9	15	102500051	102501611
MIR1302-2	15	102500051	102501611
VARS	HSCHR6_MHC_SSTO	31735249	31752710
	4	190739823	190739892
	1	31805914	31819646
	1	229406674	229407346
	11	89464185	89467950
	1	143343559	143344609
	17	10644584	10672333
	5	169618583	169626145
	2	106795998	106800253
	1	174084438	174129142
	19	16234471	16250702
	4	190802670	190806023
	X	52764990	52765196
	1	229455150	229458834
MRPS36P3	8	123103719	123103848
GUSBP9	5	70435716	70585611
	2	7875776	7875914
	1	31960436	31961777
RNU6-180P	1	229518875	229518935
	8	123426571	123440790
	8	14372250	14372374
RNU2-63P	2	88315873	88316066
RNU6-40P	1	31970419	31970525
	2	106863825	106864197
	6	74779167	75400443
RN7SKP276	1	229546247	229546514
MIR5700	12	94955565	94955635
	8	14547891	14548128
	10	36914943	36915066
MLLT10P2	4	190894754	190895002
	1	31971841	31974167
	8	123497754	123502054
	1	229560767	229561397
	X	52777574	52779905
	5	89705817	89706485
	4	190901057	190901762
	10	37229037	37232860
	19	16297087	16300269
MIR383	8	14710947	14711019
	1	31984036	31989846
	2	213775727	213784533
LSM3P2	12	94984597	94984869
UBTFL2	11	89485953	89487143
VDAC1P8	6	143811652	143812504
	11	56615954	56645554
HMGA1P5	10	77036134	77036404
	11	5375922	5376808
LINC01151	8	123682624	123706345
KAZALD1	10	102821598	102827888
	8	14736566	14737328
LINC00094	9	136890561	136899788
	1	32037186	32041174
	1	174169267	174169368
GPBP1L1	1	46092976	46153785
MIR4776-1	2	213790981	213791060
MIR4776-2	2	213790981	213791060
	5	4512375	4516889
C6orf48	HSCHR6_MHC_COX	31789757	31794910
	19	16394170	16435325
	6	74991982	74992376
	1	174317403	174317493
MKNK2P1	10	37233039	37233666
HCG4	HSCHR6_MHC_QBL	29756937	29757911
	8	123683530	123683633
KRT19P2	12	95227923	95228934
	11	89487150	89488121
	2	214017694	214018383
	X	102602390	102602657
	1	174336243	174337177
	10	77039484	77161004
OR5AK3P	11	56738325	56739621
ANKRD34B	5	79852574	79866307
RNU4-48P	2	128229810	128229991
	6	143875462	143883168
	15	69857063	69858129
	11	5383845	5384079
	6	75239964	75443995
	8	123712508	123715662
RPL23AP1	6	29694446	29694916
	1	143347958	143376829
	2	128383572	128384423
	1	229576031	229576767
	8	15182805	15183078
	11	89498052	89498306
BANF1P4	1	174725988	174726257
	5	134374528	134375737
	2	214020530	214032436
	X	52799880	52800150
TUBB7P	4	190903678	190906026
LIPE	19	42905659	42931578
OR5AK1P	11	56785575	56786361
ARL6IP1P2	10	37283951	37284513
	8	123781513	123782389
	1	85101841	85102789
	1	229644248	229650019
	5	169735705	169739720
RN7SL844P	19	16509477	16509770
	6	144179199	144179826
MICE	6	29709508	29716746
	11	89499608	89502004
MYCT1	6	153019030	153045702
RNU6-811P	10	37424165	37424271
	15	69884468	69988089
	2	214131719	214140876
OR5BQ1P	11	56796883	56797197
EI24P1	3	175785830	175786696
	19	16523495	16524387
NDUFAF4P4	1	174818805	174819306
RNU4-21P	1	229670811	229670936
OR51K1P	11	5451883	5452832
	X	52810501	52814830
	6	75320165	75320431
	6	144357755	144358841
MIR4780	2	88382038	88382118
CTNND1	11	57520715	57587018
	10	37529815	37530977
KBTBD13	15	65369154	65372276
RNY4P7	2	128556477	128556572
	10	77048091	77048440
RNA5SP78	1	229685652	229685769
	1	32109650	32125539
OR5AK4P	11	56804912	56805009
	4	124666078	124666828
	2	214141276	214148929
	2	128587321	128587426
	X	102752451	102755245
	2	106869687	106870173
HMGN2P19	1	229706279	229706543
HLA-P	HSCHR6_MHC_QBL	29765389	29767393
	8	123792210	123793069
MIR4438	2	214622791	214622883
TLCD1	17	27051366	27054953
RPL21P50	4	124666905	124667381
SPA17P1	10	77142151	77142602
	5	169758433	169760883
OR5AO1P	11	56812566	56812865
	6	75352100	75361718
	X	102873433	102873502
RNY4P15	2	88529088	88529183
	6	144438986	144439062
	2	7876569	7877226
	1	174861554	174862292
TRIM64DP	11	89510149	89515545
	8	15379393	15379475
	1	229824746	229825651
	2	215114764	215548970
	5	90326807	90327124
	4	124783015	124783170
	8	123792999	123793310
ATP8A2P1	10	37537046	37604729
TCEAL3-AS1	X	102881004	102881420
	15	70023079	70023161
	6	75429462	75429559
OR5BP1P	11	56823062	56823607
	X	52830424	52830553
MRPL42P3	6	144457587	144457912
	15	70077754	70077843
	8	123819985	123828756
	6	75558793	75560200
HMGB1P26	1	229840981	229841608
UBAP1L	15	65385338	65407535
	11	57093077	57095432
	1	85258751	85258882
	8	15546423	15547071
RNF144B	6	18368779	18469105
	15	70095655	70096385
	2	128601127	128603261
RABGAP1L-IT1	1	174866095	174867133
MIR4423	1	85599477	85599556
RPL5P8	2	215145362	215146176
	11	57096333	57096435
RNU6-395P	2	128602810	128602915
	1	85729979	85730085
	6	75994730	76006719
	15	70113095	70115195
	5	134456216	134475371
	X	102906663	102907034
	11	57127196	57127295
	1	174891244	174891577
	8	123858930	123859018
TPT1P4	6	144521584	144522102
	2	128604310	128604658
	4	69887374	69888058
	4	124983617	124984145
RN7SL314P	10	37586326	37586615
	1	85742398	85913807
	2	88594111	88594198
	1	230011297	230021499
RNA5SP341	11	57217656	57217772
	8	123989266	123997869
OR51A10P	11	5489716	5490652
	5	134460070	134466939
	2	68457058	68457147
	5	90519236	90519784
RN7SKP259	11	57219163	57219495
	5	4640844	4648367
LINC00593	15	70127573	70135459
SERPINA2P	14	94830053	94833039
	8	124014800	124042991
ANKRD29	18	21178890	21242849
	11	89519113	89521006
	19	16551757	16554395
	1	32110295	32114972
	2	68480002	68480980
RNA5SP174	4	190936293	190936410
	2	88606879	88606982
	11	57243966	57245007
RN7SL146P	19	16650499	16650795
ZNF503-AS2	10	77160759	77168738
PPM1AP1	8	15663658	15664792
HCG9P5	6	29716066	29716290
	14	94896970	94931067
	6	144578170	144578760
	5	90522292	90522888
	13	26442061	26455095
RNA5SP175	4	190938851	190938969
RNY4P5	8	124056957	124057052
	2	106905259	106905509
	2	68500236	68500338
ELFN1	7	1727755	1787590
MIR4254	1	32224261	32224336
	1	230138477	230142909
	1	85750293	85750356
	4	69893549	69910296
HMGB1P39	6	76028817	76029696
	19	16653434	16655625
ADAM3A	8	39308564	39380371
DUX4L9	4	190942562	190943820
HMGB1P19	8	124135346	124135922
	2	68588346	68592716
	6	29718148	29718249
ADIPOR1P2	14	95100042	95100861
NCAPG	4	17812525	17846485
	7	143060992	143061322
	11	57278032	57278117
	1	85900858	85900967
	11	89522580	89522901
WASH3P	15	102501356	102516768
	1	32254731	32256923
IFITM4P	6	29718506	29718925
RARRES2P4	4	190959071	190959554
	5	169816497	169849848
	4	125070532	125173199
	13	26452422	26452679
	1	85932978	85933343
	1	174904084	174923398
RPS4XP13	11	57343765	57344553
	7	143076785	143077588
	19	16662584	16663139
	11	89553250	89560090
	1	32307620	32321169
MIR629	15	70371711	70371807
OR9R1P	12	55552631	55553507
	5	169910810	169913411
	6	144632835	144654437
	1	86044183	86044425
	5	134571924	134583869
RPL7AP7	HSCHR6_MHC_QBL	29768168	29768964
MORF4L2-AS1	X	102942212	102946700
	2	8026901	8039786
SHISA2	13	26618735	26625169
	1	230184929	230184997
	2	68672842	68676306
	19	16676362	16677141
RNU6-745P	15	70485575	70485683
	6	29719742	29719984
	1	86057963	86058039
	17	29161343	29190046
	4	125356905	125358275
	2	128644130	128644759
	1	32317514	32387442
	6	144719095	144719888
	1	230394440	230404229
VIP	6	153071933	153080900
OR10U1P	12	55587666	55588570
	1	86064814	86066417
MRPL45P1	2	88664214	88665127
	15	70487977	70490848
	6	29731035	29731169
	8	124192551	124192765
	19	16697716	16698796
	6	76066930	76096096
	1	32398621	32399576
	2	128688901	128689014
	8	15800634	15801041
	17	10648870	10649860
	15	93749295	93751277
	7	1732446	1733961
	8	124193878	124195028
RNA5SP51	1	86349363	86349481
RNU6-1088P	12	120751041	120751144
	19	16721222	16747342
OR6C69P	12	55656323	55657215
RNU6-307P	1	174965661	174965766
EPHA1-AS1	7	143104906	143220542
	1	32517892	32539075
	5	170066162	170108441
	1	86495537	86496272
	15	70613915	70619081
	19	16741554	16754753
	1	174991615	174991716
RNU6-298P	17	29188861	29188956
	8	124205115	124205172
VWC2L-IT1	2	215374920	215401614
HLA-V	6	29758731	29765588
	2	68755373	68756584
	6	145027869	145028183
RNU4-90P	5	90566544	90566684
	1	230416058	230417639
